system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,date,elevation,form,pixel_qa,plot,radsat_qa,sr_aerosol,utm_east,utm_north,.geo
1_2_00000000000000000000,223,2804,2802,269,338,342,669,530,338,2017-01-08T16:00:59,0.65078,322,1,0,100,473067.298660594,3478860.0121311,"{""type"":""Point"",""coordinates"":[-81.28344097157792,31.444139242184573]}",
1_2_00000000000000000001,223,2804,2802,269,338,342,669,530,338,2017-01-08T16:00:59,0.6959,322,2,0,100,473076.22455353,3478870.8380635,"{""type"":""Point"",""coordinates"":[-81.28334722440238,31.444233501377695]}",
1_2_00000000000000000002,221,2804,2802,269,359,364,745,555,356,2017-01-08T16:00:59,0.72952,SS,322,3,0,100,473083.87783014,3478883.17748994,"{""type"":""Point"",""coordinates"":[-81.28326397875118,31.444345651911675]}"
1_2_00000000000000000003,230,2805,2802,285,382,397,747,473,301,2017-01-08T16:00:59,0.71277,SS,322,4,0,100,473090.806368006,3478894.91719759,"{""type"":""Point"",""coordinates"":[-81.28319116726706,31.44445330066773]}"
1_2_00000000000000000004,208,2803,2802,265,382,390,833,564,341,2017-01-08T16:00:59,0.74016,SS,322,5,0,68,473100.355386731,3478909.51978484,"{""type"":""Point"",""coordinates"":[-81.28309230332715,31.44458340024193]}"
1_2_00000000000000000005,208,2803,2802,265,382,390,833,564,341,2017-01-08T16:00:59,0.75131,SS,322,6,0,68,473108.440254655,3478919.89998724,"{""type"":""Point"",""coordinates"":[-81.28300900322083,31.444677636097392]}"
1_2_00000000000000000006,217,2803,2802,282,389,403,913,623,370,2017-01-08T16:00:59,0.77068,SS,322,7,0,100,473115.409132463,3478931.68851053,"{""type"":""Point"",""coordinates"":[-81.2829361911904,31.444785284706207]}"
1_2_00000000000000000007,211,2801,2801,262,372,412,1115,790,441,2017-01-08T16:00:59,0.77822,SS,322,8,0,100,473123.650273131,3478943.62921712,"{""type"":""Point"",""coordinates"":[-81.28284770716975,31.444892967875877]}"
1_2_00000000000000000008,211,2801,2801,262,372,412,1115,790,441,2017-01-08T16:00:59,0.81049,SS,322,9,0,100,473131.856996891,3478956.34514873,"{""type"":""Point"",""coordinates"":[-81.28276447379385,31.44500959670818]}"
1_2_00000000000000000009,216,2800,2800,259,365,404,1283,975,549,2017-01-08T16:00:59,0.8432,SS,322,10,0,100,473139.749184743,3478967.52270968,"{""type"":""Point"",""coordinates"":[-81.28268118642977,31.44510831097581]}"
1_2_0000000000000000000a,212,2801,2801,255,359,389,1225,840,460,2017-01-08T16:00:59,0.83435,SM,322,11,0,100,473147.251662476,3478981.80182224,"{""type"":""Point"",""coordinates"":[-81.28260321694461,31.44523836405638]}"
1_2_0000000000000000000b,212,2801,2801,255,359,389,1225,840,460,2017-01-08T16:00:59,0.85566,SM,322,12,0,100,473154.964792299,3478993.13135257,"{""type"":""Point"",""coordinates"":[-81.28251994264832,31.445341556845193]}"
1_2_0000000000000000000c,223,2800,2800,268,355,417,1214,1004,572,2017-01-08T16:00:59,0.88884,SM,322,13,0,100,473162.126482706,3479005.02140054,"{""type"":""Point"",""coordinates"":[-81.28244712954925,31.445449205171233]}"
1_2_0000000000000000000d,223,2800,2800,268,355,417,1214,1004,572,2017-01-08T16:00:59,0.92808,SM,322,14,0,100,473170.416945467,3479017.19652657,"{""type"":""Point"",""coordinates"":[-81.28235864434875,31.44555688799894]}"
1_2_0000000000000000000e,212,2801,2800,251,354,384,1196,795,439,2017-01-08T16:00:59,0.90013,SM,322,15,0,100,473178.16367387,3479028.90036565,"{""type"":""Point"",""coordinates"":[-81.28227538293089,31.44566455925408]}"
1_2_0000000000000000000f,212,2801,2800,251,354,384,1196,795,439,2017-01-08T16:00:59,0.85699,SM,322,16,0,100,473186.739029828,3479042.11198104,"{""type"":""Point"",""coordinates"":[-81.28218693760019,31.44578567784334]}"
1_2_00000000000000000010,212,2801,2800,251,354,384,1196,795,439,2017-01-08T16:00:59,0.86006,SS,322,17,0,100,473194.854503113,3479052.23930738,"{""type"":""Point"",""coordinates"":[-81.2821036221104,31.445875434476985]}"
1_2_00000000000000000011,194,2801,2800,241,328,359,1082,742,418,2017-01-08T16:00:59,0.80362,SS,322,18,0,100,473202.035308886,3479066.45812995,"{""type"":""Point"",""coordinates"":[-81.28202565119794,31.44600548719892]}"
1_2_00000000000000000012,207,2801,2801,246,335,357,999,739,440,2017-01-08T16:00:59,0.81328,SS,322,19,0,100,473211.080181057,3479077.902805,"{""type"":""Point"",""coordinates"":[-81.28193192757526,31.44610870260229]}"
1_2_00000000000000000013,194,2802,2801,244,323,338,901,904,575,2017-01-08T16:00:59,0.89414,SM,322,20,0,100,473217.090346464,3479090.66075938,"{""type"":""Point"",""coordinates"":[-81.28186957465334,31.446220806226915]}"
