plot,utm_north,utm_east,lat,long,zone,elevation,pix
t1,3479533.809,472925.316,31.4502,-81.285,T,0.68838,faa
t2,3479531.383,472926.636,31.4502,-81.2849,T,0.68673,faa
t3,3479530.038,472929.714,31.4502,-81.2849,T,0.63114,faa
t4,3479527.632,472934.631,31.4502,-81.2849,T,0.62336,faa
t5,3479525.544,472938.411,31.4501,-81.2848,T,0.58847,fab
t6,3479522.426,472940.374,31.4501,-81.2848,T,0.64549,fab
t8,3479541.31749748,472917.407418965,31.45028,-81.28503,T,0.685161,faf
t7,3479543.04846699,472914.877540459,31.450296,-81.285062,T,0.619249,faf
m1,3479502.439,472954.037,31.4499,-81.2846,M,0.779,fab
m2,3479501.095,472956.898,31.4499,-81.2846,M,0.78363,fab
m3,3479502.321,472959.958,31.4499,-81.2846,M,0.7916,fab
m4,3479506.496,472958.214,31.45,-81.2846,M,0.78084,fac
m5,3479507.117,472953.621,31.45,-81.2847,M,0.77301,fac
m6,3479507.893,472950.573,31.45,-81.2847,M,0.74326,fac
s1,3479494.226,473016.199,31.4499,-81.284,S,0.79749,fad
s2,3479492.769,473020.19,31.4498,-81.284,S,0.79092,fad
s3,3479493.707,473028.916,31.4499,-81.2839,S,0.79395,fae
s4,3479502.009,473031.283,31.4499,-81.2838,S,0.79313,fae
s5,3479506.882,473024.017,31.45,-81.2839,S,0.81856,fae
s6,3479501.482,473017.593,31.4499,-81.284,S,0.80632,fad
fb1,3478566.421711,473616.32438,31.4415,-81.2777,M,0.71815,fba
fb2,3478558.375577,473608.653341,31.4414,-81.2777,M,0.71062,fba
fb3,3478550.416925,473600.320432,31.4414,-81.2778,M,0.70874,fba
fb4,3478536.979364,473587.044821,31.4412,-81.278,M,0.6758,fbb
fb5,3478528.934368,473578.932353,31.4412,-81.278,M,0.69979,fbb
fb6,3478520.717214,473571.04013,31.4411,-81.2781,M,0.68519,fbb
fb7,3478508.391774,473559.091427,31.441,-81.2783,M,0.7475,fbc
fb8,3478500.604209,473550.979568,31.4409,-81.2783,M,0.75441,fbc
fb9,3478492.559241,473542.867044,31.4408,-81.2784,M,0.75018,fbc
sk1,3538940.756409,497109.599752,31.9865,-81.0306,M,0.896,ska
sk2,3538949.080479,497101.418452,31.9866,-81.0307,M,0.867,ska
sk3,3538956.672973,497093.236958,31.9867,-81.0308,M,0.85,ska
sk4,3538971.034305,497079.134013,31.9868,-81.0309,M,0.797,skb
sk5,3538978.809602,497071.342302,31.9869,-81.031,M,0.772,skb
sk6,3538986.767979,497062.927141,31.9869,-81.0311,M,0.736,skb
sk8,3539008.996235,497040.642946,31.9871,-81.0313,T,0.722,skc
sk9,3539017.137511,497032.305826,31.9872,-81.0314,T,0.712,skc
sk7,3539001.220869,497048.590489,31.9871,-81.0312,T,0.736,skc
ug1,3473919.694677,473190.170118,31.3996,-81.282,M,0.706,uga
ug2,3473909.881666,473190.109915,31.3995,-81.282,M,0.766,uga
ug3,3473900.128859,473190.531333,31.3994,-81.282,M,0.764,uga
ug4,3473889.834228,473190.410928,31.3993,-81.282,M,0.758,ugb
ug5,3473880.08142,473190.109915,31.3992,-81.282,M,0.782,ugb
ug6,3473870.087803,473190.651738,31.3991,-81.282,M,0.816,ugb
ug7,3473859.97378,473190.290523,31.399,-81.282,M,0.831,ugc
ug8,3473849.980162,473190.471131,31.3989,-81.282,M,0.846,ugc
ug9,3473839.926342,473190.290523,31.3988,-81.282,M,0.887,ugc
