"sampleid","date","site","plot","vegplot_area_cm2","LAI","chlorophyll","brown","junc_live_cover","spal_live_cover","dead_cover","bare_cover","avg_thatch_ht_cm","water_depth_cm","spal_tot_live_stem_ht_cm","spal_live_stem_count","junc_tot_live_stem_ht_cm","junc_live_stem_count","notes","zone","survey","stemsm2","species","live_stem_count","dead_stem_count","live__stem_cm","live_stem_g","dead_stem_g","TotalBG_0_10_g","Rhizomes_0_10_g","TotalBG_10_30_g","Rhizomes_10_30_g","area","bg.total","ag.total","rhiz.total","rhiz.shoot","rhiz.green.shoot","rhizm2.core","rootgreenshoot","rootshoot","bgm2.core","agm2.core","percentN","percentC","CN_ratio","agm2.allom","agm2.allom.new","bgm2.areascaled","agm2.core.areascaled","rhizm2.areascaled","bgm2.core.stemscaled","agm2.core.stemscaled","bgm2.allometric.rootshoot","bgm2.allometric.rootgreenshoot","bgm2.allo.new.rootshoot","bgm2.allo.new.rootgreenshoot","rhizm2.allometric.rootshoot","rhizm2.allometric.rootgreenshoot","rhizm2.allo.new.rootshoot","rhizm2.allo.new.rootgreenshoot","rhizm2.core.stemscaled","AGCg","wholeplantCg"
"10m1",2014-03-26,"fluxa","m1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.504426527867,234.627083950988,1776.17271725099,575.611528738746,NA,1360.8,441,438.567262470436,471.328041771215,782.481324976545,840.932331670793,NA,NA,NA,NA,NA,NA,NA
"10m2",2014-03-26,"fluxa","m2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.476362092071,250.418218036224,1776.17271725099,575.611528738746,NA,1490.4,483,461.818667577057,496.316316490127,835.144757150807,897.529698788042,NA,NA,NA,NA,NA,NA,NA
"10m3",2014-03-26,"fluxa","m3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6292206157166,184.528374230319,1776.17271725099,575.611528738746,NA,1296,420,308.918450753415,331.994521525463,615.402128058114,661.372393109305,NA,NA,NA,NA,NA,NA,NA
"10m4",2014-03-26,"fluxa","m4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.418964332007,279.578122949013,1776.17271725099,575.611528738746,NA,1620,525,514.987246047243,553.456564106766,932.393040034958,1002.04238511854,NA,NA,NA,NA,NA,NA,NA
"10m5",2014-03-26,"fluxa","m5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.274343020641,320.229483555285,1776.17271725099,575.611528738746,NA,1879.2,609,594.544933973838,638.957175910446,1067.96532765688,1147.74186228276,NA,NA,NA,NA,NA,NA,NA
"10m6",2014-03-26,"fluxa","m6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.377189247738,220.11643032041,1776.17271725099,575.611528738746,NA,1166.4,378,438.142926141206,470.872007707063,734.088295118567,788.924364022104,NA,NA,NA,NA,NA,NA,NA
"10s1",2014-03-26,"fluxa","s1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.618734299486,392.599993803527,635.913688892329,241.208640614332,NA,719.2,272.8,600.400147149679,666.859446787712,1008.98198407506,1120.66789276007,NA,NA,NA,NA,NA,NA,NA
"10s2",2014-03-26,"fluxa","s2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8437999954577,128.293967546064,635.913688892329,241.208640614332,NA,301.6,114.4,164.078565988326,182.240697748228,329.715496593385,366.212258107235,NA,NA,NA,NA,NA,NA,NA
"10s3",2014-03-26,"fluxa","s3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.399700098031,203.907251788573,635.913688892329,241.208640614332,NA,487.2,184.8,263.16722925194,292.29765139923,524.041637096633,582.048685142755,NA,NA,NA,NA,NA,NA,NA
"10s4",2014-03-26,"fluxa","s4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.375968315582,185.113384328886,635.913688892329,241.208640614332,NA,324.8,123.2,286.236238571046,317.920208065001,475.741397725237,528.402011237305,NA,NA,NA,NA,NA,NA,NA
