date,site,plot,vegplot_area_cm2,LAI,chlorophyll,brown,junc_live_cover,spal_live_cover,dead_cover,bare_cover,avg_thatch_ht_cm,water_depth_cm,spal_tot_live_stem_ht_cm,spal_live_stem_count,junc_tot_live_stem_ht_cm,junc_live_stem_count,notes
05-03-2016,skida,sk1,2500,0.64,31.4,no,5,75,5,15,0,1,726,18,1517.75,26,
05-03-2016,skida,sk2,2500,1.84,35.7,no,2,83,5,10,24,0,1706,24,151,2,
05-03-2016,skida,sk3,2500,0.36,33.5,no,0,65,3,32,0,1.5,1555,52,0,0,
05-03-2016,skida,sk4,2500,0.56,34.5,no,0,55,10,35,0,2,1367,34,0,0,
05-03-2016,skida,sk5,2500,0.34,34.1,no,0,35,15,50,0,3,833,25,0,0,
05-03-2016,skida,sk6,2500,0.42,36,no,0,45,10,45,0,0.2,857,24,0,0,
05-03-2016,skida,sk7,2500,0.82,38.8,no,0,40,5,55,0,0.5,898,15,0,0,
05-03-2016,skida,sk8,2500,0.53,40.8,no,0,35,5,60,0,0.5,840,14,0,0,
05-03-2016,skida,sk9,2500,0.83,37.2,no,0,40,10,50,0,2,1027,18,0,0,
05-04-2016,fluxb,fb1,2500,1.12,37.3,no,0,25,15,60,0,0,890,20,0,0,
05-04-2016,fluxb,fb2,2500,2.21,44,no,0,40,20,40,0,0,1010,30,0,0,
05-04-2016,fluxb,fb3,2500,0.51,43.3,no,0,30,15,55,0,0,869,23,0,0,
05-04-2016,fluxb,fb4,2500,0.2,37.5,no,0,30,10,60,0,3,974,23,0,0,
05-04-2016,fluxb,fb5,2500,0.66,39,no,0,35,10,55,0,2,645,20,0,0,
05-04-2016,fluxb,fb6,2500,0.3,36.3,no,0,50,20,30,0,0,1150,36,0,0,
05-04-2016,fluxb,fb7,625,0.99,40.6,no,0,30,10,60,0,0,599,12,0,0,
05-04-2016,fluxb,fb8,2500,0.28,41.3,no,0,50,40,10,0,0,1156,38,0,0,
05-04-2016,fluxb,fb9,2500,0.31,41.3,no,0,25,5,70,0,1,842,28,0,0,
05-04-2016,fluxa,m1,625,0.4,45.075,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m2,625,0.56,43.7,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m3,625,0.77,40.4666666667,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m4,625,0.48,43.0333333333,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m5,625,0.35,44.2,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m6,625,0.49,43.9,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s1,625,0.44,50.8,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s2,625,0.31,46.3,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s3,625,0.58,51.3,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s4,625,0.21,45.2,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s5,625,0.34,41.1,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s6,625,0.35,47.5,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t1,2500,2.45,38.0666666667,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t2,2500,2.32,39.25,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t3,2500,1.01,39.6333333333,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t4,2500,2.31,34.9666666667,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t5,2500,1.2,44.4,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t6,2500,1.45,38.3666666667,no,0,,,,0,0,,,0,0,
05-05-2016,ugami,ug1,625,0.64,42.5,no,0,50,15,35,0,0,608,17,0,0,
05-05-2016,ugami,ug2,625,1.67,40.7,no,0,50,40,10,0,0,505,9,0,0,
05-05-2016,ugami,ug3,625,0.9,39.1,no,0,65,35,0,0,0,573,18,0,0,
05-05-2016,ugami,ug4,625,0.48,43.4,no,0,60,20,20,0,0,620,19,0,0,
05-05-2016,ugami,ug5,625,1.01,40.1,no,0,20,10,75,0,0,322,9,0,0,
05-05-2016,ugami,ug6,625,1.35,44.1,no,0,55,5,40,0,0,806,21,0,0,
05-05-2016,ugami,ug7,625,1.51,40.5,no,0,60,5,35,0,0,1190,24,0,0,
05-05-2016,ugami,ug8,625,0.88,44.2,no,0,80,15,5,0,0,990,18,0,0,
05-05-2016,ugami,ug9,625,1.01,43.8,no,0,60,10,30,0,0,746,20,0,0,
07-18-2016,skida,sk1,625,0.5,33,no,5,70,4,26,0,0,576,17,0,0,
07-18-2016,skida,sk2,2500,1.33,29.4,no,5,78,12,5,0,0,1089,16,284,4,
07-18-2016,skida,sk3,625,0.25,34.3,no,0,60,10,30,0,0,657,22,0,0,
07-18-2016,skida,sk4,625,0.52,32.4,no,0,55,5,40,0,0,569,13,0,0,
07-18-2016,skida,sk5,625,0.12,34.6,no,0,45,5,50,0,0,375,10,0,0,
07-18-2016,skida,sk6,625,0.4,31,no,0,60,15,25,0,0,375,10,0,0,
07-18-2016,skida,sk7,2500,0.45,35.8,no,0,55,15,30,0,0,896,13,0,0,
07-18-2016,skida,sk8,2500,0.45,35.3,no,0,55,15,30,0,0,715,11,0,0,
07-18-2016,skida,sk9,2500,0.65,40.2,no,0,45,10,45,0,0,1000,16,0,0,
07-13-2016,fluxb,fb1,625,0.85,31.9,no,0,30,10,60,0,0,300,6,0,0,
07-13-2016,fluxb,fb2,625,0.71,34,no,0,35,5,60,0,0,312,6,0,0,
07-13-2016,fluxb,fb3,625,0.47,35.5,no,0,15,15,70,0,0,323,7,0,0,
07-13-2016,fluxb,fb4,625,0.44,33.7,no,0,10,15,75,0,0,147,4,0,0,
07-13-2016,fluxb,fb5,625,0.37,33.6,no,0,15,5,80,0,0,222,7,0,0,
07-13-2016,fluxb,fb6,625,0.38,32,no,0,30,10,60,0,0,395,7,0,0,
07-13-2016,fluxb,fb7,625,1.3,30,no,0,20,30,50,0,0,224,4,0,0,
07-13-2016,fluxb,fb8,625,0.6,26.9,no,0,5,15,80,0,0,175,3,0,0,
07-13-2016,fluxb,fb9,625,0.53,32.9,no,0,70,0,30,0,0,830,20,0,0,
07-12-2016,fluxa,m1,625,0.69,32.8,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m2,625,0.7,31.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m3,625,0.66,25.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m4,625,0.53,28.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m5,625,0.66,29.9,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m6,625,0.62,29.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s1,625,0.89,33.7,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s2,625,0.73,29.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s3,625,0.82,42.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s4,625,0.36,32.4,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s5,625,0.46,30.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s6,625,0.38,42.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t1,2500,2.27,31,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t2,2500,3.22,19.8,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t3,2500,3.42,21,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t4,2500,2.83,28.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t5,2500,2.58,26.4,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t6,2500,1.33,30.9,no,0,,,,0,0,,,0,0,
07-14-2016,ugami,ug1,625,0.76,33.2,no,0,65,5,30,0,0,612,13,0,0,
07-14-2016,ugami,ug2,625,1.28,32.1,no,0,56,4,40,0,0,406,7,0,0,
07-14-2016,ugami,ug3,625,0.9,32.7,no,0,49,1,50,0,0,377,14,0,0,
07-14-2016,ugami,ug4,625,0.72,30.7,no,0,15,5,80,0,0,201,7,0,0,
