year,month,day,biweek,key
2013,1,16,1,0
2013,1,31,2,1
2013,2,15,3,2
2013,2,28,4,3
2013,3,16,5,4
2013,3,31,6,5
2013,4,16,7,6
2013,4,30,8,7
2013,5,16,9,8
2013,5,31,10,9
2013,6,16,11,10
2013,6,30,12,11
2013,7,16,13,12
2013,7,31,14,13
2013,8,16,15,14
2013,8,31,16,15
2013,9,16,17,16
2013,9,30,18,17
2013,10,16,19,18
2013,10,31,20,19
2013,11,16,21,20
2013,11,30,22,21
2013,12,16,23,22
2013,12,31,24,23
2014,1,16,1,24
2014,1,31,2,25
2014,2,15,3,26
2014,2,28,4,27
2014,3,16,5,28
2014,3,31,6,29
2014,4,16,7,30
2014,4,30,8,31
2014,5,16,9,32
2014,5,31,10,33
2014,6,16,11,34
2014,6,30,12,35
2014,7,16,13,36
2014,7,31,14,37
2014,8,16,15,38
2014,8,31,16,39
2014,9,16,17,40
2014,9,30,18,41
2014,10,16,19,42
2014,10,31,20,43
2014,11,16,21,44
2014,11,30,22,45
2014,12,16,23,46
2014,12,31,24,47
2015,1,16,1,48
2015,1,31,2,49
2015,2,15,3,50
2015,2,28,4,51
2015,3,16,5,52
2015,3,31,6,53
2015,4,16,7,54
2015,4,30,8,55
2015,5,16,9,56
2015,5,31,10,57
2015,6,16,11,58
2015,6,30,12,59
2015,7,16,13,60
2015,7,31,14,61
2015,8,16,15,62
2015,8,31,16,63
2015,9,16,17,64
2015,9,30,18,65
2015,10,16,19,66
2015,10,31,20,67
2015,11,16,21,68
2015,11,30,22,69
2015,12,16,23,70
2015,12,31,24,71
2016,1,16,1,72
2016,1,31,2,73
2016,2,15,3,74
2016,2,29,4,75
2016,3,16,5,76
2016,3,31,6,77
2016,4,16,7,78
2016,4,30,8,79
2016,5,16,9,80
2016,5,31,10,81
2016,6,16,11,82
2016,6,30,12,83
2016,7,16,13,84
2016,7,31,14,85
2016,8,16,15,86
2016,8,31,16,87
2016,9,16,17,88
2016,9,30,18,89
2016,10,16,19,90
2016,10,31,20,91
2016,11,16,21,92
2016,11,30,22,93
2016,12,16,23,94
2016,12,31,24,95
2017,1,16,1,96
2017,1,31,2,97
2017,2,15,3,98
2017,2,28,4,99
2017,3,16,5,100
2017,3,31,6,101
2017,4,16,7,102
2017,4,30,8,103
2017,5,16,9,104
2017,5,31,10,105
2017,6,16,11,106
2017,6,30,12,107
2017,7,16,13,108
2017,7,31,14,109
2017,8,16,15,110
2017,8,31,16,111
2017,9,16,17,112
2017,9,30,18,113
2017,10,16,19,114
2017,10,31,20,115
2017,11,16,21,116
2017,11,30,22,117
2017,12,16,23,118
2017,12,31,24,119
2018,1,16,1,120
2018,1,31,2,121
2018,2,15,3,122
2018,2,28,4,123
2018,3,16,5,124
2018,3,31,6,125
2018,4,16,7,126
2018,4,30,8,127
2018,5,16,9,128
2018,5,31,10,129
2018,6,16,11,130
2018,6,30,12,131
2018,7,16,13,132
2018,7,31,14,133
2018,8,16,15,134
2018,8,31,16,135
2018,9,16,17,136
2018,9,30,18,137
2018,10,16,19,138
2018,10,31,20,139
2018,11,16,21,140
2018,11,30,22,141
2018,12,16,23,142
2018,12,31,24,143
2019,1,16,1,144
2019,1,31,2,145
2019,2,15,3,146
2019,2,28,4,147
2019,3,16,5,148
2019,3,31,6,149
2019,4,16,7,150
2019,4,30,8,151
2019,5,16,9,152
2019,5,31,10,153
2019,6,16,11,154
2019,6,30,12,155
2019,7,16,13,156
2019,7,31,14,157
2019,8,16,15,158
2019,8,31,16,159
2019,9,16,17,160
2019,9,30,18,161
2019,10,16,19,162
2019,10,31,20,163
2019,11,16,21,164
2019,11,30,22,165
2019,12,16,23,166
2019,12,31,24,167
