"plot","LAI","date","percentN","bgm2.areascaled","agm2.core.areascaled","bgm2.core.stemscaled","agm2.core.stemscaled","agm2.allom","bgm2.allometric.rootshoot","bgm2.allometric.rootgreenshoot","agm2.allom.new","bgm2.allo.new.rootshoot","bgm2.allo.new.rootgreenshoot","rhizm2.allometric.rootshoot","rhizm2.allometric.rootgreenshoot","rhizm2.allo.new.rootshoot","rhizm2.allo.new.rootgreenshoot","rhizm2.areascaled","rhizm2.core.stemscaled","chlorophyll","year","mo","site"
"fb1",1.12,2016-05-04,0.92,1695.03890177162,1374.88925150169,309.2,250.8,122.21842774952,150.677583174449,219.199175522922,127.179515883817,156.793884813701,228.096904357751,120.074244806546,174.678773767296,124.948296306908,181.769331286384,1350.76838744026,246.4,37.3,2016,5,"fluxb"
"fb1",1.093,2016-05-11,0.886,1931.20408899129,1743.49991047686,313.8,270.0336,130.719865454833,152.220773248898,213.890206362523,132.711950463788,155.743272073862,219.915989663507,120.017724277032,169.161800341707,122.978277763773,174.117209245301,1507.55400383958,247.3152,36.76,2016,5,"fluxb"
"fb1",1.066,2016-05-18,0.852,2167.36927621096,2112.11056945204,318.4,289.2672,139.221303160146,153.763963323346,208.581237202125,138.24438504376,154.692659334023,211.735074969263,119.961203747518,163.644826916118,121.008259220637,166.465087204218,1664.33962023889,248.2304,36.22,2016,5,"fluxb"
"fb1",1.039,2016-05-25,0.818,2403.53446343062,2480.72122842721,323,308.5008,147.722740865459,155.307153397795,203.272268041726,143.776819623731,153.642046594183,203.554160275018,119.904683218005,158.12785349053,119.038240677502,158.812965163135,1821.12523663821,249.1456,35.68,2016,5,"fluxb"
"fb1",1.012,2016-06-01,0.784,2639.69965065029,2849.33188740239,327.6,327.7344,156.224178570772,156.850343472244,197.963298881328,149.309254203703,152.591433854344,195.373245580774,119.848162688491,152.610880064941,117.068222134367,151.160843122052,1977.91085303752,250.0608,35.14,2016,6,"fluxb"
"fb1",0.985,2016-06-08,0.75,2875.86483786996,3217.94254637756,332.2,346.968,164.725616276086,158.393533546693,192.654329720929,154.841688783674,151.540821114505,187.19233088653,119.791642158977,147.093906639352,115.098203591232,143.50872108097,2134.69646943684,250.976,34.6,2016,6,"fluxb"
"fb1",0.958,2016-06-15,0.716,3112.03002508963,3586.55320535273,336.8,366.2016,173.227053981399,159.936723621141,187.34536056053,160.374123363645,150.490208374666,179.011416192286,119.735121629463,141.576933213763,113.128185048096,135.856599039887,2291.48208583615,251.8912,34.06,2016,6,"fluxb"
"fb1",0.931,2016-06-22,0.682,3348.1952123093,3955.16386432791,341.4,385.4352,181.728491686712,161.47991369559,182.036391400132,165.906557943617,149.439595634827,170.830501498042,119.678601099949,136.059959788174,111.158166504961,128.204476998804,2448.26770223546,252.8064,33.52,2016,6,"fluxb"
"fb1",0.904,2016-06-29,0.648,3584.36039952896,4323.77452330308,346,404.6688,190.229929392025,163.023103770039,176.727422239733,171.438992523588,148.388982894987,162.649586803797,119.622080570436,130.542986362586,109.188147961826,120.552354957721,2605.05331863478,253.7216,32.98,2016,6,"fluxb"
"fb1",0.877,2016-07-06,0.614,3820.52558674863,4692.38518227826,350.6,423.9024,198.731367097338,164.566293844487,171.418453079335,176.97142710356,147.338370155148,154.468672109553,119.565560040922,125.026012936997,107.21812941869,112.900232916638,2761.83893503409,254.6368,32.44,2016,7,"fluxb"
"fb1",0.85,2016-07-13,0.58,4056.6907739683,5060.99584125343,355.2,443.136,207.232804802651,166.109483918936,166.109483918936,182.503861683531,146.287757415309,146.287757415309,119.509039511408,119.509039511408,105.248110875555,105.248110875555,2918.62455143341,255.552,31.9,2016,7,"fluxb"
